Date,Close_CRWD,Close_FTNT,Close_PANW,Close_ZS,Close_^GSPC,Close_^IXIC,High_CRWD,High_FTNT,High_PANW,High_ZS,High_^GSPC,High_^IXIC,Low_CRWD,Low_FTNT,Low_PANW,Low_ZS,Low_^GSPC,Low_^IXIC,Open_CRWD,Open_FTNT,Open_PANW,Open_ZS,Open_^GSPC,Open_^IXIC,Volume_CRWD,Volume_FTNT,Volume_PANW,Volume_ZS,Volume_^GSPC,Volume_^IXIC
2022-01-03,198.3300018310547,66.6240005493164,90.70166778564453,301.8299865722656,4796.56005859375,15832.7998046875,205.5749969482422,72.42400360107422,93.4000015258789,323.54998779296875,4796.64013671875,15832.7998046875,193.50999450683594,66.48799896240234,89.63999938964844,300.5,4758.169921875,15644.08984375,205.0,72.42400360107422,93.07333374023438,322.6000061035156,4778.14013671875,15732.5,5311600,9515000,7802400,2576000,3831020000,4429960000
2022-01-04,189.19000244140625,64.4280014038086,87.33333587646484,281.5799865722656,4793.5400390625,15622.7197265625,197.44500732421875,66.68399810791016,90.72166442871094,298.19000244140625,4818.6201171875,15852.1396484375,183.32000732421875,62.534000396728516,85.5566635131836,270.7200012207031,4774.27001953125,15512.41015625,195.88999938964844,66.0999984741211,89.57499694824219,297.9649963378906,4804.509765625,15852.1396484375,6503400,9829000,9586200,3827700,4683170000,5131110000
2022-01-05,179.2899932861328,60.698001861572266,84.1433334350586,262.3299865722656,4700.580078125,15100.169921875,191.36000061035156,63.939998626708984,86.74833679199219,280.3699951171875,4797.7001953125,15586.2998046875,178.99000549316406,60.582000732421875,83.61000061035156,256.3999938964844,4699.43994140625,15095.1796875,185.0,63.17599868774414,85.54166412353516,275.010009765625,4787.990234375,15547.16015625,5003400,12033000,7494000,3437700,4887960000,5031850000
2022-01-06,187.49000549316406,62.79999923706055,88.8183364868164,260.2099914550781,4696.0498046875,15080.8603515625,192.1699981689453,63.933998107910156,90.16666412353516,266.32000732421875,4725.009765625,15198.4501953125,176.25,58.737998962402344,82.83499908447266,252.35000610351562,4671.259765625,14914.8701171875,180.25,58.89799880981445,83.5,261.0,4693.39013671875,15024.150390625,6368600,12004000,16553400,2439600,4295280000,4790820000
2022-01-07,188.99000549316406,62.93199920654297,87.5816650390625,261.5299987792969,4677.02978515625,14935.900390625,193.27000427246094,63.965999603271484,91.36666870117188,268.3599853515625,4707.9501953125,15171.01953125,184.80999755859375,61.816001892089844,87.38333129882812,254.3509979248047,4662.740234375,14877.6298828125,185.0,61.88800048828125,87.80999755859375,258.3800048828125,4697.66015625,15095.7197265625,3531900,8805000,13586400,1696000,4181510000,4238070000
2022-01-10,192.5,64.94200134277344,87.10166931152344,275.6499938964844,4670.2900390625,14942.830078125,193.17999267578125,64.98200225830078,87.43000030517578,276.0199890136719,4673.02001953125,14953.849609375,174.8699951171875,60.48400115966797,82.0,249.00999450683594,4582.240234375,14530.23046875,182.61000061035156,60.84400177001953,85.63166809082031,254.5,4655.33984375,14751.7802734375,7052000,11657500,14975400,4333300,4511810000,5317180000
2022-01-11,196.11000061035156,64.71199798583984,87.67500305175781,277.5299987792969,4713.06982421875,15153.4501953125,198.5,64.80000305175781,88.28333282470703,281.3699951171875,4714.1298828125,15158.7099609375,188.74000549316406,62.79999923706055,85.3066635131836,267.3299865722656,4638.27001953125,14837.6298828125,189.61000061035156,63.54600143432617,85.78666687011719,270.45001220703125,4669.14013671875,14919.259765625,3663100,7455500,7239000,1517900,4101590000,4390710000
2022-01-12,187.97000122070312,64.15799713134766,88.66999816894531,273.9800109863281,4726.35009765625,15188.3896484375,200.67999267578125,66.05000305175781,89.63333129882812,288.6099853515625,4748.830078125,15319.0302734375,185.6999969482422,63.641998291015625,86.37999725341797,272.8800048828125,4706.7099609375,15117.2900390625,196.61000061035156,65.10800170898438,88.10166931152344,283.1099853515625,4728.58984375,15263.099609375,6002800,7013500,6079200,1881000,4048220000,4338530000
2022-01-13,174.89999389648438,61.57600021362305,83.0999984741211,250.47000122070312,4659.02978515625,14806.8095703125,188.49000549316406,64.55999755859375,89.01333618164062,277.2699890136719,4744.1298828125,15259.7099609375,173.52999877929688,61.45199966430664,82.66999816894531,250.32000732421875,4650.2900390625,14782.240234375,188.14999389648438,64.10800170898438,88.66999816894531,274.6499938964844,4733.56005859375,15245.0400390625,7565400,6471000,9814800,3137300,4251730000,4302020000
2022-01-14,176.6999969482422,62.507999420166016,83.18499755859375,254.74000549316406,4662.85009765625,14893.75,181.5,62.7760009765625,83.52999877929688,257.70001220703125,4665.1298828125,14897.6796875,172.1699981689453,60.63199996948242,81.06666564941406,247.44000244140625,4614.75,14689.4296875,173.8699951171875,61.04999923706055,81.92500305175781,248.0,4637.990234375,14708.01953125,4674700,6412000,8197200,2071300,4338490000,4374020000
